 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 瑜伽 曹红娟 百分制/绩点制 每节课课前点名签到 未出分 没有瑜伽基础的话个人不太推荐，老师挺严的，期末考核很费时 无 单人瑜伽考核，小组瑜伽考核并且老师不希望是学过的动作，难度高 体育部
  郭霄洁 百分制/绩点制 每节课前点名 90-94/4.0 老师要求严格，但是会考虑个人柔韧性程度体谅学生 没有 期末6-8个人组成一个小组（老师按照名单分），排一个五分钟以上的瑜伽动作展示 体育部
   百分制/绩点制 点名 85-89/3.5-3.9 老师教的很多，没有什么严格的要求 没有 考试以小组形式考核，靠课上教的动作编排，小组是老师组的 体育部
   百分制/绩点制 点名 未出分 老师风格严谨专业，耐心认真；真能由浅入深学到很多瑜伽知识和动作，上完课会有神清气爽的感觉；刚开始会有一些吃力，一些动作对男生放低了要求 课上练习瑜伽动作，临近期末排出一套动作可能需要课下花一些时间小组排练 一套5～7分钟的展示，选用课程教授的动作进行小组编排，会花一些时间 体育部
   百分制/绩点制 每次课都签到 95+ 对我来说挺累的，期末有个小组展示，需要柔韧和核心   体育部
   百分制/绩点制 每节 80-84/3.0-3.4 有点累 不喜欢小组合作 小组展示 体育部
 国际象棋初级 朱家琪 百分制/绩点制 基本每节课都得到，不会特意点名，但是如果漏一节课不请假的话会很影响专项分 85-89/3.5-3.9 老师讲课十分清晰，零基础也能上。 后面会进行对战 45 体育部
   百分制/绩点制 每周要两人一组对战，不签到会扣分 90-94/4.0 老师人很好，幽默风趣，课程挺有意思的，绝世好课，无基础可以选，没有什么作业，课前也不用跑步热身，没有什么运动量，而且老师有时候会出差不上课，轻松 无 就每周对战，没有期末考试 体育部
   百分制/绩点制 不点名 未出分 老师很牛，上课会班内循环下棋  没有期末考试，主要是看平时 体育部
 健美操初级 杨兰 百分制/绩点制 点名 90-94/4.0 内容不难，老师人很好，给分不错44 几乎课上都能完成，不用课下练 组队完成一套动作，不难 体育部
   百分制/绩点制 点名 95+ 老师和蔼，建议有舞蹈基础的同学选，不太协调的同学上课会很痛苦 无，但如果课上没有学会，考前需要自己练习 12人组成小组将课上学的操排队行变成集体操，需要课下排练（一般课上来不及完成） 体育部
   百分制/绩点制 大概有一半时间有点名签到吧，我觉得可能是老师看人齐就不点了 未出分 挺好的 前面准备活动，后面学考试的操 学一套操，最后10个人左右一组排队形跳一遍 体育部
   百分制/绩点制 缺勤一次及以内不扣分 85-89/3.5-3.9 老师很好，给分也高 需要一点节奏感 组队做一遍学的操，难度不高给分高 体育部
  葛胜楠 百分制/绩点制 几乎每节课点名 90-94/4.0 老师人很好很温柔耐心，给分不错。课程难度和运动量都不大，考核比较轻松 只需要记住每节课教的动作 以小组形式跳一遍健美操，平时认真学的话就不会占用太多时间，除了对肢体不协调的同学不太友好以外，其他都很好 体育部
   百分制/绩点制 节节课点名 85-89/3.5-3.9 每节课就是学习一节健美操，课程强度还好，老师给分也不错，本人跳的一般 基本没有，可以课下自己练习 跳健美操，加两个八拍的自编动作，以及健美操队形变换编排，再加一个托举动作 体育部
   百分制/绩点制 点名 未出分 老师人很好、负责，能学到一些东西 任务难度适中，有一次期中小组任务 小组跳操 体育部
 交谊舞 刘慧青 百分制/绩点制 点名 未出分 老师很厉害，但是可能要求比较多，介意请谨慎选课 课下没有任务，但为期末考核可能需要一定练习 以小组为单位跳一支大约两分半左右的交谊舞蹈，自己选择自己排练，可能比较麻烦 体育部
   百分制/绩点制 点名 90-94/4.0 老师水平很高，零基础可上， 平时一般无课下任务，期末需要小组抽时间编排一下舞蹈 小组编排舞蹈依次展示，进决赛的小组不会低于90分，需要课下花时间，难度不高 体育部
  颜丽丽 百分制/绩点制 每节课都点名 90-94/4.0 上课会先绕体育馆跑两圈，走一圈。舞步一开始比较简单，之后会有点难，需要下课练习，舞伴很重要最好找舍友或者很熟悉的人，可以随时练习，很方便。如果有舞蹈基础就很轻松，没有的话有点费头脑 无 期末考试有两次机会，大家专项成绩都挺好，基本都是44.45，就是需要自己多练练，转圈有点折磨 体育部
 啦啦操初级 杨兰 百分制/绩点制 每堂课间点名 85-89/3.5-3.9 老师人不错，考核简单，强度中等 无 疫情结课主要是跳一段操 体育部
   百分制/绩点制 点名要签到 90-94/4.0 老师人挺好的，但是专项给分一般 跳啦啦操，但是有点难度 组队跳所学的一套操 体育部
  葛胜楠 百分制/绩点制 点名 95+ 每节课学几个八拍的啦啦操，老师教的很好，上课挺轻松的，一学期可以学会一套啦啦操 平时课上会拉伸、热身啥的，很有用 期末会小组展示，就跳课上学的啦啦操，不过会要求变换一下队形。课后占用时间短，绝大部分时间是在体育课上排练，难度不大，给分高 体育部
   百分制/绩点制 每节课都点名 90-94/4.0 老师教的很好零基础直接冲 不难，就学了一套动作，最后让小组内自己排练 每个组跳一遍 体育部
   百分制/绩点制 每节课都准时点名 80-84/3.0-3.4 刚学的时候可能会身体不协调，但是只要认真练就不成问题，老师很温柔很细心，会用衣服颜色给同学起昵称，看到做的不对的地方都会指正。只要认真做了打分不会低，男生也可以选，老师对男生的要求也比较宽容。 每节课都是先热身，再跟着老师学一段，再自己练习。基本不需要课下练习，自己练习的时候也可以找到网上的视频看。期中的时候会给课上时间让以小组为单位录已学部分跳操的视频，小组一起多练几遍就没问题，基本不需要占用课下时间。 以小组为单位跳操展示，需要小组对学过部分有一些创意微调（比如变队形），需要两小节的自编动作，但由于最后两小节有一个固定的托举动作，其实需要自编的很少。考核前会给很多课上时间做准备，不太需要占用课下时间练习，我们组当时课下只练了不到一小时。老师给分真挺宽容的，我是男生，做的没有很好，但是45的专项分老师也给到了40出头。 体育部
   百分制/绩点制 点名 85-89/3.5-3.9 老师很温柔，给分也不错 平时没什么事，如果遇上假期，可能返校后需要录一段练习视频 团体跳一段啦啦操，我感觉有点难，建议有舞蹈基础或者身体比较协调的人选 体育部
   百分制/绩点制 没有点名 75-79/2.5-2.9 上课轻松 少 闭卷考，不知道重点 体育部
 篮球初级 齐春燕 百分制/绩点制 每节课均有点名 75以下/2.5以下 热身，定点投篮，三步上篮和比赛，轻松，收获很大 就是上课的内容，训练一半，剩下的时间自由训练 三步上篮和定点投篮，一般老师会多给一两次机会，三步上篮的时间也会宽松些，最后三节课用于考试，难度不大 体育部
   百分制/绩点制 会签到点名，请假需要出示学院盖章的请假单 90-94/4.0 老师教的东西都很基础，很容易学会。 基本不会占用平时时间，课外练球录视频可以多获得一次考试机会 定点投篮,行进间运球 体育部
   百分制/绩点制 点名 95+ 老师很有耐心，对于薄弱的部分（比如投篮动作不标准）会耐心的指导和纠正。一学期下来，现在对于球性感觉比以前好很多了。 基本没有，快期末的时候会分组打一下比赛。 投篮和跨步上篮（女生）；有一定难度但是课下多练练应该问题也不大。 体育部
   百分制/绩点制 点名 85-89/3.5-3.9 对有基础的比较容易,没有的也很容易高分 几句没有平时任务 考试是一分钟上篮（男生全场女生半场）＋定点投篮 体育部
   百分制/绩点制 点名 80-84/3.0-3.4 老师还好，期末投篮难度大 无 定点投篮，不确定性大 体育部
  王涛 百分制/绩点制 不点名不签到，但最后一节课必须去 85-89/3.5-3.9 老师很好，会教初学者怎么打球 无，自主练习 投篮，上篮，女生难度比男生难度低。男生考的是10次投篮中6个满分，2个及格。投篮区域在油漆区线上。上篮是一分钟全场来回上篮，上进6个满分，2个及格。 体育部
   百分制/绩点制 没有 未出分 老师人很好，请假什么的都很松，上课强度也不太高。考核女生要求比男生低很多，能打成什么样看个人能力。   体育部
   百分制/绩点制 没有点名和签到，老师本人说想来就来，只要期末过了就好，考勤分基本给满 80-84/3.0-3.4 老师人挺好，对喜欢篮球的挺有意思的，因为我是数统，所以体育课没卷，以及格为目标 平时没啥任务，不费时间 男生油漆区外五个点各投两次6个满分两个及格,全场行进1分钟三步上篮6个满分两个及格,女生随便投十次篮6个满分两个及格,随便半场上个篮6个满分两个及格,男生投篮有点难度,课外练了就不会差 体育部
   百分制/绩点制 不点名不签到，老师人很好 90-94/4.0 上课老师先带着练习，剩下大概半节课自由练习活动，老师给分好，事少分高，对女生很友好，零基础可以冲！ 平时课上课下没什么任务，女生课上可能会有点累 定点投篮10进2及格6满分，一分钟三步上篮2及格6满分，难度不大， 体育部
   百分制/绩点制 不点名签到，平时分给满 95+ 老师是cuba退役球员，想学真东西的闭眼冲，想玩玩也可以选，管的不严 少 投篮，上篮，基本都会给满 体育部
  袁晖 百分制/绩点制 点名 95+ 感觉会运球、投篮和三步上篮就比较简单，平时上课难度不大，临近期末多练一练 无 三步上篮，投篮 体育部
