 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 魏晋南北朝史 王安泰 百分制/绩点制 从没点过 85-89/3.5-3.9 安泰老师人巨好，我的论文写得像💩都有3.7 只有一个期中作业，是期末作业的大纲，这个比较好写 论文结课，个人感觉专业性较强不算很好写，但给分还行 历史学院
 隋唐五代史 夏炎 通过制 点名少  老师讲课内容丰富，专业性强，对学术有帮助 平时任务可选择完成 论文结课 历史学院
   百分制/绩点制 点名 85-89/3.5-3.9 老师讲课有意思，风趣幽默 看自己意愿完成每周的任务，最后分数会略高一些 交上一篇论文的纸质和电子版，关于隋唐的，除了小说都可 历史学院
 中国近现代对外贸易史 毛立坤 百分制/绩点制 点名 85-89/3.5-3.9 讲课非常有趣，老师语言精到准确，内容引人入胜。 一次小任务，一次课程评价，一次最后的开卷考试 开卷考，考一些类似于正课的题型，不会太难 历史学院
 世界上古中古史2-2 武鹏,郑玮 百分制/绩点制 很少,基本不点 80-84/3.0-3.4 武鹏老师讲课比较有意思,但是有时候会发散可能会跟不上_郑玮老师基本就是按ppt顺序讲_两个老师都很好 有一次小组展示,不难,没时间的话一两天就能赶完 正常考试,难度中上,还是需要平时上课有一定积累,把好整体脉络 历史学院
 博物馆学概论 李宇奇 百分制/绩点制 有几次点名 85-89/3.5-3.9 老师按照教材授课 有一个小组展示，比较轻松 闭卷，范围是整本教材，感觉难度还是比较大，但给分还可以 历史学院
 敦煌学 沈琛 百分制/绩点制 偶尔点名 90-94/4.0 老师人挺好，接地气，讲得好，不过我有点听不进 没有平时作业 札记（史院学生必须_其他院看自己意愿）或者书评啥的（其他院） 历史学院
 世界近现代史2-1 董瑜,潘芳 百分制/绩点制 最后几节点 75以下/2.5以下 讲课还行，作业少 平时任务少 给分低 历史学院
 文物学概论 刘毅 百分制/绩点制 无 85-89/3.5-3.9 老师人很好，也不会点人回答问题 有期中作业,是一篇读书报告 开卷，就两道大题，给分很好 历史学院
 拜占廷史 武鹏 百分制/绩点制 不点名不签到 90-94/4.0 老师人超好！上课内容很丰富，讲的也很好 期末结课是写一个2000-3000字的论文，平时没有任务 论文结课 历史学院
 中国考古（上） 陈畅 百分制/绩点制 点名签到都挺少的，主要还是看自觉吧 85-89/3.5-3.9 cc老师很好！讲课专业知识较多，讲课内容挺丰富的，授课类似于那种交流式的而不是灌输式的授课，老师其他的d类课也挺好的 平时任务CC老没有，这节课另外一个老师可能会有一个实验报告，平时任务较少，也不难 期末考核老师会划范围，考试两个大题，CC老师是给定大概十几个问题从里面挑一个，另外gw老师是在最后一节课会给我们复习一下，考试从复习的内容里抽内容设置题 历史学院
   百分制/绩点制 没有点名 90-94/4.0 老师讲课会有点不太容易集中，需要认真听 当时是需要完成一些实验报告，但今年不知道还有没有这项任务 闭卷考试，但是会给一定范围，难度适中 历史学院
 世界上古中古史2-1 王以欣 百分制/绩点制 基本上没有点名 90-94/4.0 王老师讲课很好，会讲许多小故事，来增添上课的兴趣，基本上讲的内容PPT上都会有 有两次课后作业，花费时间不长，基本一个周末认真写就能完成 闭卷考试，所有考的内容PPT上都有，好好根据老师给的重点认真整理和背诵，都会得到高分 历史学院
 历史文选 赵庆淼 百分制/绩点制 不点名，但最好还是到场，不然什么都不会 80-84/3.0-3.4 我愿称之为天书，挺难的，要看繁体文献，学反切、句读等等，那一学期手机都改成了繁体字，但是能学到真东西。 无平时任务 闭卷考试，文言文好的话还可以，会考一些文言文题目还有名词解释等等，需要背。 历史学院
   百分制/绩点制 签过两次到，但都是形式主义 75-79/2.5-2.9 老师上课内容比较丰富，讲的比较难_文言文形式 平时只有预习和复习内容少，难度也比较小 期末考试内容，老师会画重点（据说开课以来从来没有人挂过） 历史学院
 专业外语2-1 王以欣 百分制/绩点制 不点名不签到，后期教室基本都没人了 90-94/4.0 课上以欣王讲他的课，下面的学生玩自己的手机 期中交一个片段翻译作为作业，直接交给翻译软件自己再改一下就可以 考试可以带电子词典和纸质词典，不可以带手机，大类的题目是翻译一篇文章就行，难度还可以。 历史学院
   百分制/绩点制 没点过名 80-84/3.0-3.4 老师讲的很有意思，尤其是跟神话有关的会引出很多，但是课程对翻译水平的提升 一篇专业文献里截取的片段，大概能懂，但是感觉还是挺难的，最好别用ai 期末考试，可以带电子辞典，但是还是要注意时间，很容易写不完，写完了好像差不多都3以上，但是高分很难 历史学院
   百分制/绩点制 从来不点名，从来不签到 75以下/2.5以下 老师讲课内容比较丰富，但是期末考试考的比较严 平时就一个翻译作业 英译汉内容比较困难_但是可以带电子词典 历史学院
   百分制/绩点制 从来没点过 95+ 神中神king中king老师！甚至会展示自己翻译的小诗 会给段英文文章_让同学们自行翻译作为平时作业给平时分（英翻中） 也是给一段英文文章进行翻译（英翻中） 历史学院
