 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 统计学 王晶 百分制/绩点制 点过一次名 85-89/3.5-3.9 讲的很好很详细容易理解 几乎每次课交一次作业，就是本周学的内容 期末卷面考试 商学院
  张建华 百分制/绩点制 不点名不签到 80-84/3.0-3.4 老师讲的很好,给分也很好 课后习题 课上讲的 商学院
 微观经济学 张国萍 百分制/绩点制 签到 85-89/3.5-3.9 老师知识多,可以学到很多,平时就好好复习就行  期末闭卷考试,挺简单的 商学院
   百分制/绩点制 每节课都点 90-94/4.0 自学吧，老师一心扑在科研上讲课不清楚，课堂气氛沉闷，除了给分好没什么好的，期末画重点不清晰 无小组作业，极其省时间 统一出卷 商学院
  魏巧 百分制/绩点制 签到，只有一次 85-89/3.5-3.9 课本知识，老师属于将我们要学要考的内容，每堂课很充实，但最好每次课前预习一下 两三次作业习题，也不多，还有最后一次的小组作业 平时表现+小组作业+期末考试,只要认真听老师讲课，难度不大 商学院
  胡望斌 百分制/绩点制 最后一节课必点名，平时上课提问可能会点到 85-89/3.5-3.9 快跑！！！最烦的一个老师，就没有不拖堂的时候，说教味熏天_授课内容：每次都用一节课回忆上次的内容，再用一节课极速讲完新的内容，以此类推，经常点人回答问题，回答不上来会阴阳 小组展示 闭卷考试 商学院
 信息检索 肖雪 百分制/绩点制 没有点名，但老师会发现 85-89/3.5-3.9 不会画重点 平时有线上的简单作业 闭卷考试 商学院
 公司治理 牛建波 百分制/绩点制 点名 85-89/3.5-3.9 老师讲的很好 会提前布置，在课上小组讨论发言等 论文结课 商学院
 财务管理 郝臣 百分制/绩点制 不点名，但喜欢上这节课 90-94/4.0 非常好，非常有趣，让我感受到学习的快乐，像宋浩一样 四次作业，还行能接受 开卷，问题简单，划范围，不难 商学院
 微观经济学 张涵 百分制/绩点制 不点名签到 80-84/3.0-3.4 老师很温柔可爱，讲解细致，授课内容有条理 有几个pre 闭卷考试＋小组pre 商学院
   百分制/绩点制 没点过名 90-94/4.0 全英授课 无平时任务 有一个pre，要讲书上案例，还有就是期末考试，也是全英 商学院
 学习与创新 田莉,外聘教师 百分制/绩点制 每节课点名签到 85-89/3.5-3.9 课程内容轻松 没有考试，几乎没有任务，上课适当互动即可 没有期末考试 商学院
 信息资源管理概论 张瑶 百分制/绩点制 每节课助教点名 90-94/4.0 老师真的特别特别特别好,有一点点严厉,但是终生受益,在很多地方都用得到,而且知识点不会死记硬背,老师见识很多,会举很多生动的例子帮助同学理解概念 三次pre（一次个人,两次小组）＋1500词英语论文,给分很细,认真做能拿高分 闭卷（判断＋概念简答）较简单,好好复习就都会 商学院
   百分制/绩点制 点名 85-89/3.5-3.9 授课内容侧重于企业中信息的搜寻、管理和商业计划的初步学习，老师风格幽默风趣，富有人文关怀，虽然是全英文课程，但是依然能几乎无障碍掌握考核内容，并且对于商业思维的构造和创新创业能力有极大锻炼。 以小组pre为主，难度对于初上手的同学较高，需要小组讨论并且认真听课，不得划水，否则对于组内成员分数影响极大。大概占用时间为2-3小时/周。 两部分内容，一部分为根据课上内容，选取公司进行信息资源处理全流程的撰写；另一部分为闭卷考试，背诵内容较多且包括图片，以课上PPT为主，需要付出很大精力复习。 商学院
 财务会计（上)（FA2） 徐东玲 百分制/绩点制 点名 75-79/2.5-2.9 老师很负责很有耐心 有作业，多 期末考试7+平时作业3 商学院
 企业伦理 申光龙 百分制/绩点制 签到 90-94/4.0 老师挺好，偶尔叫同学回答问题但大部分不会点名，不能在课堂做别的课的作业，老师爱讲关于写论文。老师讲的内容都是他做的ppt。 作业是论文，老师比较仔细看论文的排版要跟老师需要的要求，课堂没有quizz没有小组作业 期末考试是闭卷，主要是要背内容,难度算不太难 商学院
 管理学专业教育 张继勋,杨斌,刘彦平,樊振佳,赵馨頔,齐岳,黄晶,杨坤 通过制 无考勤  老师上课较为新颖，介绍商院各专业情况，有助于同学们了解分流 无平时任务 无期末考试 商学院
 电子商务概论 石鉴 百分制/绩点制 签到一次 85-89/3.5-3.9 老师讲的东西很有意思，特别拓宽知识面 平时没什么任务 期末论文结课 商学院
 管理学 周建 百分制/绩点制 签到算入考勤 未出分 老师实力强 有课后作业 考试 商学院
 用户信息行为 李月琳 百分制/绩点制 偶尔点名 90-94/4.0 课程内容丰富，老师也很好，学到挺多东西 平时作业有点多，不太难 小组作业并展示 商学院
