 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 俄语实践语法4-2 BELIKOVSERGEI 百分制/绩点制 线下签到 90-94/4.0 老师会说中文，上课基本用简单的俄语，大多数时候用中文，人挺好的 作业是书上的题，不难 期末考试一张卷子，基本是书上内容 外国语学院
 俄罗斯概况 任明丽 百分制/绩点制 考勤是占分的，人不是很多，来不来很容易发现 85-89/3.5-3.9 挺好的很有意思，但是对期末的论文有一定要求，高分没那么容易_授课内容：讲一些俄罗斯的基本国情，老师人挺好的，上课内容也很丰富，认真听应该能学到很多 课前会有雨课堂小测试,两周一次大概,难度还好,但是需要提前看书 开卷写一篇论文3000字左右,会有一次展示内容是人物 外国语学院
   百分制/绩点制 人很少，一眼就能看出来谁没到 80-84/3.0-3.4 老师很和蔼 任务不重 论文结课 外国语学院
 日语泛读4-2 王秀芳 百分制/绩点制 课前点名 85-89/3.5-3.9 老师带学生进行日语文章（多为小故事或短篇小说）的阅读、翻译，并讲解重点词汇以及语法。两个老师人美心善又温柔 无课后作业 考试（日语文章阅读题翻译题，不太难，大部分人提前交卷） 外国语学院
 高级法语精读3-2 CLEMENT,LAURENT,JACQUES,THOMAS 百分制/绩点制 不签到不点名 未出分 老师挺好的 翻译作业要交 考试结课 外国语学院
 法国历史与文化2-1 洛伊克 百分制/绩点制 不点名，偶尔有小组展示签到环节 90-94/4.0 老师很好，幽默风趣 任务量不大，几乎没有课后作业，有也是小组作业，但是阅读文本难度稍高。 闭卷考试，题目基本为课堂ppt内容，但不会画重点，复习时间稍长。难度不大。 外国语学院
 初级德语精读2-2 马迎彬 百分制/绩点制 不签到点名，但是班里人少所以不来老师肯定知道 90-94/4.0 老师教的很好，老师特别可爱！对学生也很好，竞赛什么的找老师老师都会帮 教的难，作业略多 难度会和学生商量，内容都是学过的 外国语学院
 西班牙语视听说3-2 门多萨 百分制/绩点制 点名 80-84/3.0-3.4 老师人很好，但是不会中文而且喜欢点人回答问题 每周有听力作业，半小时内可完成 考试 外国语学院
 基础西班牙语4-2 宓田 百分制/绩点制 签到 未出分 老师人很好 背背单词，默默写 期末考卷子 外国语学院
 西班牙语口语3-1 墨麒麟 百分制/绩点制 无，但是很明显人少 85-89/3.5-3.9 教的还可其他就不评了 几乎无 考一套卷子 外国语学院
 英语视听4-4 刘滨梅 百分制/绩点制 不点名签到，几次平时小测算平时成绩 95+ 非常好老师，其他课也都能冲 课程内容不是很难，老师会选一本课外的听力教材平时用。每节课也会练习专四听力，很基础的课。 期末组卷，不难，老师觉得大家听不懂还会多放一遍。 外国语学院
 英语语音实践与提高 王冬焱 百分制/绩点制 老师认识每一个人，所以没来的一眼就看出来了 90-94/4.0 讲得很好👍王老师的发音真的很标准 开学和期中有一次一对一的面谈，每个人要做一次pre 听辨，难度中等，但老师会捞 外国语学院
 文学与电影2-2 边岩锋 百分制/绩点制 不点名，但人少容易看出来，会提问问题 90-94/4.0 就是电影知识，比较水 论文和pre，轻松 不难论文结课 外国语学院
 日语会话4-2 DEWA 百分制/绩点制 课前点名 85-89/3.5-3.9 日语授课,老师偶尔说中文,亲切和蔼 课上读新闻以及课本的学习《大家的日语》多为练口语，同学轮流发言（简单的短句或词汇） 两人一组课文情景表演全过程2min 外国语学院
 二外英语4-2 边岩锋 百分制/绩点制 偶尔有提问 75-79/2.5-2.9 上课还行，但是期末打分平时分部分会卡89，然后期末总体成绩占比和开学所说严重不符，复习不够会影响总分_授课内容：讲课内容和考试内容轻松，但是期末考试所占分数比例与开学老师所说严重不符 英文电影相关展示和课后作业（会直接发答案） 课后习题原题+500字作文（可能会变） 外国语学院
  张雅丽 百分制/绩点制 点名 80-84/3.0-3.4 老师很严格 任务很重，和英专用一个课本 闭卷考试 外国语学院
 二外阿拉伯语4-2 高松 百分制/绩点制 点名找班长，班长说你来了，你就来了 95+ 好！授课内容：哈哈哈哈超级有趣，老师人很好，很可爱 阿拉伯语有点难 考书上的重点，第一学期比较简单 外国语学院
 阿拉伯国家概况 黄昊霏 通过制 人很少，不用点名或签到，老师一眼就能看到人齐不齐、谁没来  课上会讲教材上的内容、介绍阿拉伯国家的一些情况；我上的时候不是黄老师教，但黄老师人很好，上课认真负责，给分也很好 平时没什么任务，需要预习，我们当时上课需要做pre，不知道黄老师会不会要求做pre 论文结课 外国语学院
 日语报刊选读2-1 孙雪梅 百分制/绩点制 不点名或签到 90-94/4.0 内容随新闻热点更新，很有趣，老师人非常好 基本无平时任务 考试内容都是课上讲过的，包括词汇、翻译以及对课上所学内容的感想 外国语学院
 日语视听说4-3 DEWAAKIKO 百分制/绩点制 人很少，用不着点名，当然也别想着旷课 85-89/3.5-3.9 老师人很好，很典型的温柔的日本人，中文很好，讲得很清楚 课后可能会有练习，但是不多 每个人一学期一次发表，内容难度不大，认真准备即可 外国语学院
 二外日语4-1 郑琳 百分制/绩点制 有时候点名 90-94/4.0 老师超级温柔又可爱，讲的也特别好，给分也很好 没有平时任务 随堂考试，几乎只要复习了就能得高分 外国语学院
 语料库语言学与英语学习 李民 百分制/绩点制 不点名 90-94/4.0 李民老师幽默风趣,人很随和,讲的很实用,我愿称之为英专生最实用的专选之一_学一些语料库软件的使用方法都是研究语言学课题可以应用的东西,老师还会发打印好的讲义 没有什么平时任务 用语料库研究方法写一篇论文,老师会指导选题,提供选题和思路,收获很多 外国语学院
 初级德语会话2－1 雷海花 百分制/绩点制 人少（老师一看便知） 95+ 内容有趣轻松、老师很好、给分也高 平时几乎无作业，自行预习 随堂考，小组做对话，个人做自我介绍 外国语学院
   百分制/绩点制 小班制，每节课都会点人轮流答题，没有额外点名/签到，请假提前和老师说 90-94/4.0 比较照本宣科，但是课上跟着好好做一定有收获 课上点人翻译课文内容，然后给时间自己和口语搭档根据书上给的题目练习 两人自由组队，随机抽题，十分钟准备时间，一般是让你编一段对话，然后在老师面前说，挺简单的 外国语学院
 德语国家概况2-1  百分制/绩点制 点名 90-94/4.0 比较轻松 有pre 论文结课 外国语学院
 法国概况 刘吉平 百分制/绩点制 点名 80-84/3.0-3.4 比较无聊，老师只顾自己讲。。。。体验不太好，但点名又不得不去 平时没有作业 期末论文结课+小考试，占用时间不多 外国语学院
 初级法语精读2-1 种艺泽 百分制/绩点制 无 75以下/2.5以下 会有听写考试，应该是算分数的，期末很难 作业 正常 外国语学院
 法语技能训练4-1 周新凯 百分制/绩点制 不点名，但每节课前都要轮流讲题 90-94/4.0 老师很温柔，会捞人 作业比较多，每节课都有课后作业。 听写题和作文题，听写题会是之前课堂练习的原题。作文题目会提前告知。 外国语学院
 中国文学与文化2-1 商瑞芹 百分制/绩点制 不签到，但会点名回答问题 85-89/3.5-3.9 老师人很好，人温柔很有气质，上课会讲一些论语，儒道佛的一些中国文学文化 学期内按名单做一个pre，可能有一两次小作业，写自己的观点，不难 期末一千多字英文论文 外国语学院
 英语口语4-1 JamesCarr 百分制/绩点制 一般不点名签到，但如果不来他也记得 85-89/3.5-3.9 老师很佛系，但别摆烂，可能会压分或根据印象扣分 上课就练口语，课后没啥作业，可能偶尔会有一些小活动，总之能找到搭档并张开嘴大胆说就行 期末分小组和同学进行用英语的讨论，老师会提前出好题目让你抽 外国语学院
 日本国情 孙雪梅 百分制/绩点制 无点名 90-94/4.0 讲日本的地理、历史、文化等等，非常有收获，还会放日语老歌让学唱 刚开学课前让写了几次本周阅读的日本相关书目或看的电影，印象中没有平时作业 考平时上课的内容，需要背诵笔记（ppt），题目就是默写填空，考前会给范围 外国语学院
   百分制/绩点制 点名 85-89/3.5-3.9 课程内容很有趣 需要写自己读了什么书 考试，但是会给题库 外国语学院
 日语视听说4-1 MATSUOKAYUYA 百分制/绩点制 无 85-89/3.5-3.9 一开始是跟读，后面是听问答题和一篇长文章问题 没有平时作业 有一点点难但是题目都是课上的原题 外国语学院
   百分制/绩点制 不点名，无签到 90-94/4.0 老师不会说中文，初学同学可能有点困难 没有平时作业，但会发课件需要提前预习一下 闭卷上机考试，全日语，难度不大 外国语学院
 语言学基础4-1 王冬焱 百分制/绩点制 专业课老师认识每一个人，不会课前专门点名 95+ 课堂氛围很轻松，老师特别好 偶尔会有课后作业和小测验，但是难度不大 闭卷考试，但是老师会给很详细的重点，只要考前好好准备就行 外国语学院
 基础意大利语4-1 石豆,杨琳 百分制/绩点制 不点名不签到，老师自己会看人数 90-94/4.0 两位老师都非常好，教学水平搞，性格好，学到了很多知识 适中 期末闭卷，应该是7：3，需要好好复习，中等难度 外国语学院
 意大利语国家概况2-1 石豆 百分制/绩点制 不到会看出来 90-94/4.0 老师很有水平，认真听很有收获，并且老师要求也不会很高，上课摸鱼也可以 一学期两次pre 展示或者期末考试，需要好好准备一下 外国语学院
 文学与电影2-1 边岩锋 百分制/绩点制 不点名 90-94/4.0 老师会选几部影片和他自己的论文针对不同主题在课上进行赏析和讲解,每节课会留20分钟到半小时看电影经常点人回答问题 平时有1个pre 论文结课 外国语学院
   百分制/绩点制 几乎不怎么查考勤 85-89/3.5-3.9 边老师人挺好的，课程内容也不错，大家喜欢欣赏电影的可以冲 平时就主要要做一个个人pre，事儿不多。 期末是一篇论文结课 外国语学院
 日语会话4-1 DEWAAKIKO 百分制/绩点制 老师会自己点人数，请假需要提前和老师说 80-84/3.0-3.4 教材内容都是很生活化的对话，课下需要背，课前会请同学两个两个/三个三个上来做对话表演，部分词需要自行做替换，之后讲新课词汇和语法，轮流点人答语法题。老师很温柔，教材内容进度比精读略慢一些，有巩固复习作用 背对话，不难，课前几分钟看几眼就能记住 两人一组背讲过的所有对话并进行关键词替换，考试时随机抽其中几组进行表演，整理+背诵三小时内就能搞定，难度不大，但是老师会压分，如果平时课堂表现不够积极的话应该拿不到高分 外国语学院
   百分制/绩点制 点名 90-94/4.0 老师超级亚撒西，多和老师交流分也会高 很轻松 两人一组发表对话，期中pre 外国语学院
 英美文学欣赏2-1 回春萍 通过制 每节课点名，请假要提交材料  课上以讲授和讨论为主，老师很开放，会给出考试重点，但是有时候很心累 每篇文章讲解结束后进行测试，跟综合英语的测试形式差不多，还有简答题，需要认真准备 纸笔闭卷考试，老师会在考试前明确告知考试范围 外国语学院
   百分制/绩点制 每节课课前都点名,缺勤会按次数扣分（请假也算缺勤,人要到场） 95+ 上课节奏比较紧凑,需要全程认真听和做笔记,回答问题影响平时分 有4到5次quiz,quiz成绩计入平时分,每次大概要花一个晚上整理和复习 老师会给非常详细和明确的范围以及题型,按照范围复习就行,考场上就是把复习时候背的内容默写上去,会有一部分课外题不过都很水很好拿分,复习好了分非常非常高接近满分 外国语学院
   百分制/绩点制 每节课点名 90-94/4.0 老师上课讲的很好，也很有趣 会有预习任务，但不需要提交，自己预习就好。一篇文章讲完会有quiz，会给定范围，背就完了。 闭卷考试。考试前会划范围，平常上课听一听没多大问题，最后给分也不错。 外国语学院
 二外英语4-1 张晨 百分制/绩点制 会点人回答问题 90-94/4.0 老师很有水平，提升英语水平很有帮助 一学期会有四次听写 闭卷考试 外国语学院
   百分制/绩点制 课前点名 85-89/3.5-3.9 老师性格很好，讲一些英语文章节选，但知识点讲述不是很多 每两三周有听写单词，课上可能轮流读课文 闭卷考试，会有课上单词串写故事，比较开放，有一定难度 外国语学院
  边岩锋 百分制/绩点制 不点名，但会以抽人回答问题的方式间接点名 90-94/4.0 特别好，特别轻松，无脑冲 一般会有2-3次课后习题写，会发答案，完全不费事 pre+考试，考试内容是50分作文和50分课本原题 外国语学院
