 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 文科概率统计 吴忠华 百分制/绩点制 没有 85-89/3.5-3.9 老师讲的还行，我有点听不懂 有随堂测验 统一考试 高等数学教学部
  高建召 百分制/绩点制 签到 80-84/3.0-3.4 内容来自教材，PPT授课，会抽人提问，但不难，基本每个人都会回答一次问题 课后作业是课本例题，不难，一周一交，半小时能写完 闭卷考，不难 高等数学教学部
 高等数学（B类）II 李波 百分制/绩点制 老师签到非常少，就三次，还会提前通知 80-84/3.0-3.4 课程风趣，上课难度适中，课程收获较多，作业难度一般 课本习题 签到+论文+考试 高等数学教学部
   百分制/绩点制 点名+签到，有时候会提前提醒，基本都在最后几节课签的 未出分 老师萌萌的，讲话不太清楚，思路比较跳跃，基础不太好的学生听了会一脸懵逼 每周有十题左右作业，都是课本习题，不算难 统考，没有想象中难 高等数学教学部
   百分制/绩点制 签到 95+ 超级帅的老师，真的好喜欢波波啊，而且有时候还会卖萌～讲课也很好，超级负责的大帅哥！ 平时作业还好，有的挺难的，但是蛮锻炼人的 考试嘛，高数懂得都懂，必须认真学 高等数学教学部
  崔巍 百分制/绩点制 签到 85-89/3.5-3.9 老师教得好，人好。 平时作业少 考试 高等数学教学部
   百分制/绩点制 雨课堂签到 80-84/3.0-3.4 人比较有趣，课前看到我们瞌睡会讲一讲最近发生的有意思的事情；讲课还行，认真听并完成作业就问题不大。 作业+论文 闭卷笔试 高等数学教学部
   百分制/绩点制 签到 90-94/4.0 老师人有趣，且不是那种纯念ppt的，会推导公式，有自己的思路 每周一次作业，较简单 老师会海底捞！超好！ 高等数学教学部
   百分制/绩点制 签到 未出分 老师讲的能够听明白，上课很负责，有时候还会搞点小幽默，是个很有趣的老师。捞人力度大，平时下课就把他堵住的话有问必答很耐心，我很有收获。 作业比一般老师难，因为是崔神自己出的题，好多答案上网都搜不到，老师也不给标答（悲）。频率一般来讲一周留一次作业，一次4-12道不等，平均5-7道题。好好听课的话能写出来，占用时间大概一次作业2-4小时左右。期中有个迷你论文，要求1500字左右，格式不做硬性要求，只要用点心写基本都能拿满分。平时分应该占30%左右？ 期末是试卷，考书上老师重点讲过的内容，考100分钟，难度比老师平时留的作业简单不少。 高等数学教学部
  赵志勇 百分制/绩点制 无 90-94/4.0 讲的比较难 作业还行 考试 高等数学教学部
  王立云 百分制/绩点制 不签到，有一次作业点名 90-94/4.0 感觉看个人，但是期末老师发了真题比较暖心 一周一次作业和一个论文 试卷，统考 高等数学教学部
   百分制/绩点制 签到频率较高 80-84/3.0-3.4 老师喜欢手写 有课堂小测 闭卷考试 高等数学教学部
  赵雨菲 百分制/绩点制 雨课堂扫码签到 75-79/2.5-2.9 老师很温柔，讲课中规中矩但挺清楚的，每周讲完新内容都有作业，内容是课后题，给分也不错 课程作业 闭卷考试 高等数学教学部
