 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 广告学概论 戴维 百分制/绩点制 偶尔点名 85-89/3.5-3.9 老师上课松弛感很强，偶尔点名回答问题 最后搞一个大广赛就行 大广赛参赛作品小组展示 新闻与传播学院
 新闻采访 陈宁 百分制/绩点制 没有签到，但会点人回答问题。 85-89/3.5-3.9 能学到真东西，老师讲得挺好的。 期中任务是自己完成每周播报，要出去采访、写新闻稿、做PPT再在课堂播报。轮到自己的时候有点累，但没轮到就比较轻松。 写一篇新闻稿。不难。 新闻与传播学院
 新闻传播伦理与法规 马瑞洁 百分制/绩点制 签到 90-94/4.0 课程超有意思！老师会结合ppt讲很多扩展的内容和案例 平时有一次小组作业，老师在课上会点评 论文 新闻与传播学院
 新闻评论 熊培云 百分制/绩点制 不点名。老师一直在生病，都是别的老师代课。 90-94/4.0 老师和那些请来代课的老师讲的都还挺好的 无任务 写一篇800字评论就行 新闻与传播学院
 文化经典的国际传播 孙德宏 百分制/绩点制 很少 85-89/3.5-3.9 老师讲的很好，有ppt 没什么任务 一篇论文 新闻与传播学院
 名家讲坛 周培源 百分制/绩点制 签到 90-94/4.0 请很多名师，很好水 无 无 新闻与传播学院
   百分制/绩点制 有纸质版签到 95+ 课程内容是找新闻界的各位大佬来讲座，可以增加不少见识。 平时没有什么任务，课前助教会发课外阅读，感兴趣的可以自己阅读 论文结课，字数有上限，上限800，还是非常容易的，总的来说就是大大的好课！ 新闻与传播学院
 非线性编辑 王杉 百分制/绩点制 每节课都会点名回答问题 95+ 会放一些经典电影,也能学到一些视听语言的知识 只有一次期中作业,做一个电影混剪 开卷电影片段赏析 新闻与传播学院
   百分制/绩点制 有时会点名 90-94/4.0 主要讲剪辑的理论知识，会和一些电影等结合，比较有趣，也会有Pr软件使用教学 期中剪辑一个视频 随堂考试，看一个电影片段用学到的知识进行分析 新闻与传播学院
   百分制/绩点制 不点名，有一次面对面建群签到了 85-89/3.5-3.9 老师人很好，课也有趣，学到了很多关于电影的知识，还练习了视频剪辑 基本没有，就期中剪一个视频。 开放考试，给你看一个电影片段，用所学知识赏析。不难。 新闻与传播学院
 出版与数字出版概论 刘运峰 百分制/绩点制 会在上课的时候提问 90-94/4.0 老师上课还会带一些跟出版相关的物品给我们展示传阅，还是挺有意思的 印象里是留了两次平时作业，如果用心做还是需要一定精力的，但是都不是很难的任务 闭卷考试 新闻与传播学院
 中国编辑出版史  百分制/绩点制 无签到 85-89/3.5-3.9 老师上课风格比较传统但不无聊，会讲编辑出版的一些基础知识，手写笔记很有体验感 平时作业很轻松，只有一次 闭卷考试，比较简单，老师会提前划好题 新闻与传播学院
 马克思主义新闻思想 高冉 百分制/绩点制 签到 95+ 风格诡异，收获1-10分我打1分，但是看在成绩上我给10分 很简单 期中pre和期末论文，很简单 新闻与传播学院
 新闻学概论 李唯嘉 百分制/绩点制 一学期点几次名，老师点名前会提前通知 95+ 老师人很好，讲课按照ppt 有过一两次作业，平时作业很少，占用精力不多 期末闭卷考试，考前需要背一背，考试难度不算大 新闻与传播学院
 互联网时代的新闻传播美学 孙德宏 百分制/绩点制 偶尔点名，大概一学期2-3次 90-94/4.0 主要讲授新闻美学的内容，个人感觉有点高深，需要一定的思考才能跟上老师的思路。孙老师讲课比较活泼，像是在聊天一样，比较有收获，也能引发个人思考 平时没有什么任务。 论文结课，就是写自己对新闻美学的理解这一方面的，格式要求比较严格，占用时间不多。 新闻与传播学院
 Photoshop图像处理 李晨萍 百分制/绩点制 Python程序随机点名 95+ 课程内容非常多，一个学期下来能够基本掌握Photoshop常用的快捷键以及操作，进阶操作需要课下多练不然会忘，老师讲说非常有耐心 任务内容中等，但课程进行时会提出课后练习，需要注意，大概学习每个新内容都有操作任务，有些课上进行有些课后作业 期末考核为提交系列海报，并进行课堂展示，提交包括PPT、海报、海报素材的文件夹。占用时间取决于个人海报难度，难度不算大。 新闻与传播学院
   百分制/绩点制 每节随机点名 80-84/3.0-3.4 老师认真，内容殷实有用 偶尔有作业，压力不大 几副作品，类似于可画做海报 新闻与传播学院
 中国新闻传播大讲堂 周培源 通过制 不点名  很有意思的课，小周老师人很好 平时没有任务 一篇很短的论文 新闻与传播学院
