 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 外国宪法 李晓兵 百分制/绩点制 不查人 85-89/3.5-3.9 老师讲课不按套路，比较有自己的风格，能学到一些东西 平时无任务 一个案例ppt和一篇读后感 法学院
 法律方法 张华 百分制/绩点制 签到会提前通知；个别几节课签到 85-89/3.5-3.9 期末划重点，给分还不错 无平时任务 背ppt即可 法学院
   百分制/绩点制 签到会有提醒 90-94/4.0 挺好的 比较轻松 闭卷考试 法学院
 财税法 李建人 通过制 点名  听不太懂，听着会走神 一篇期中论文，期末闭卷考试 论述题，名词解释，简答题 法学院
 国际气候变化法 唐颖侠 百分制/绩点制 无 85-89/3.5-3.9 平时上课不用去，期末需要小组讨论汇报 难度不大 无期末考试 法学院
 中国法律思想史 于语和 百分制/绩点制 不点名也不签到 85-89/3.5-3.9 不喜欢历史文学啥的就觉得很无聊 期中一次作业，只有800字左右，挺简单的 期末闭卷考试，类似于思政课，贝多芬 法学院
 刑事诉讼法 朱桐辉 百分制/绩点制 不考勤 85-89/3.5-3.9 老师的授课内容是两个案件+部分法条（最后没有讲完刑诉法全部内容）；老师很喜欢与他积极互动的学生，提倡狼性学习精神；期末题目会提前给出，但最后给分难评，让人摸不准评分标准，但这是必修课，给分低也没有办法 只有期中一个800字我的一个小发现论文 提前给出了题目大纲，考试全覆盖，不难但给分靠运气了 法学院
 劳动法 柯振兴 百分制/绩点制 不点名不签到 90-94/4.0 授课内容丰富，可以让学生对劳动法有一个基础认识和感知。老师上课会自己对着ppt讲，穿插案例和视频，生动有趣。个人感觉收获也很多，劳动法还是很有实用功能的课程，推荐大家选课。 期中作业一个，可以采取小组或个人的形式完成。大概花费一周时间。 期末开卷考试，考核内容都在ppt上，老师期末也会发ppt。复习难度不大，占用时间也不多。 法学院
   百分制/绩点制 不签 85-89/3.5-3.9 给分不错，强推 就期中一篇论文，字数不多 开卷考 法学院
 宪法学 李晓兵 百分制/绩点制 不点名，无考勤 80-84/3.0-3.4 授课内容可以说几乎与马工程的宪法毫不相关，是老师自己的一套理解；老师风格就是喜欢与他互动，与老师同频的；收获就是个人没啥收获吧，给分难评不太好 只有其中一篇读书报告 当时是疫情，线上考试，不具有太多参考价值了，但老师出题极具个人特色，倾向于台港澳的宪法研究 法学院
   百分制/绩点制 没有点名或签到 85-89/3.5-3.9 需要认真拜读老师的《宪法时间》hh 只有期中作业，是《宪法时间》读后感 闭卷考试，有名词解释、材料题（一般是港澳台法）、最后一题是对《宪法时间》中名句的看法感想 法学院
 侵权法 阎愚 百分制/绩点制 无 90-94/4.0 老师讲课非常优秀，上课很有内容，可以学到很多。 平时作业是一个案例分析，想要写好还是有点难度的。 期末是半开卷，会有法条可以看，有背诵有案例分析，不算难，认真准备了会有不错的成绩。老师给分客观公正。 法学院
   百分制/绩点制 没有 85-89/3.5-3.9 讲课全都是干货，非常有用，老师不点名不提问，最后考试结课，可以看法条，但要求一定的灵活运用能力 期中案例分析，期末考试时交 期末闭卷考试，可以携带法条入场，较为综合 法学院
 法律职业伦理 刘萍,王鹏 百分制/绩点制 忘记了 85-89/3.5-3.9 老师讲课超级有趣 任务不多 期末考试闭卷 法学院
 消费者权益保护法 程前 百分制/绩点制 无 90-94/4.0 神课，老师讲课很有意思，很实用的内容 3次案例分析小作业，只有600字，不难，很轻松 期末是论文，2000字，非常简单 法学院
