 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 软件基础与计算物理 李宝会 百分制/绩点制 偶尔有签到 90-94/4.0 老师讲课很清晰很有收获偶尔有简单的小测 上机课难度不大助教讲的还行基本课上就能完成 平时成绩和期末占比6：4难度不大 物理科学学院
 电磁学 李祖斌,姚江宏 百分制/绩点制 签到 95+ 老师还是蛮负责的，最后给分也还行 很少，几乎没什么 考试，难度不高 物理科学学院
 神奇的物理世界 孔勇发 通过制 点过一次，不在也无所谓  神课，每节课是不同的老师讲物理前沿方向，类似科普讲座 没有平时任务 1000字论文结课 物理科学学院
 线性代数 刘波 百分制/绩点制 有雨课堂回答题目 85-89/3.5-3.9 老师教的很好，给分也算很不错 作业也不算多 闭卷考试，我们那年考得还算挺难的吧 物理科学学院
 物理研讨4-1 余华 百分制/绩点制 不点名也不签到但是大家都会来，因为是小组制，每节课都要讨论布置任务。 90-94/4.0 能学到一些学术规范，幻灯片制作技巧，还有报告技巧等。老师说话很文雅，人很好。 准备小组汇报，最后一次是个人准备。每次课题结束后交ppt，助教和老师打分。 无 物理科学学院
 力学 宋智 百分制/绩点制 不点名 75以下/2.5以下 老师讲课比较有风格，我不太能听得懂，多半还是靠自学 作业不多，基本就是课后习题 卷面考试比重很大 物理科学学院
 材料制备技术 余华 百分制/绩点制 无 95+ 讲得好，划重点，开卷，打分高 两次小论文 开卷考试 物理科学学院
 光学 张国权 百分制/绩点制 只有过一次点名 75-79/2.5-2.9 老师讲的比较复杂，不太听得懂，最后老师也捞人了 平时作业较多，也比较难 统一闭卷考试，物院最难课程之一 物理科学学院
  李玉栋 百分制/绩点制 偶尔 80-84/3.0-3.4 老师讲的没有重点和逻辑，事情还很多还要做小实验写论文，不如自学 作业难度一般但是助教不讲只有答案，作业一般是英文 考三次考占比记分 物理科学学院
 自然科学技术发展简史 高峰 百分制/绩点制 对出勤要求较高，每次上课都会点名，一次点名值五分 80-84/3.0-3.4 该课要求较多，给分一般，不是很建议选 无平时作业 期末将从平时上课的一千多页ppt抽取考点，还是较为麻烦的 物理科学学院
 力学 李玉栋 百分制/绩点制 不点名不签到 75-79/2.5-2.9 讲的不是很清楚 少 笔试 物理科学学院
