 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 高级语言程序设计2-2 宋春瑶 百分制/绩点制 无签到，上课可能抽人回答问题，不计入平时分 90-94/4.0 c++不好好学真的会挂_授课内容：讲课有点快，期末有带着复习 程序编写和理论题（不计入平时分，但都不写容易期末考试挂） 期末作业（我们是六道题）（20）+实验考试（难）（30）+理论考试（偏，有手写代码且难度较大）（50） 软件学院
  郭文雅 百分制/绩点制 不点名 85-89/3.5-3.9 老师年轻漂亮，人美心善，没有作业，事少，给分高 无平时任务 统一考试，会有复习 软件学院
 大学物理学（一） 黄茜 百分制/绩点制 偶尔签到 95+ 老师人美心善，认真负责，教的特别好，作业特别少，给分很高 平时作业很少 统一考试 软件学院
   百分制/绩点制 点名看情况，人少就点，用一张纸写指定内容，内容都是知识模型之类 90-94/4.0 老师很幽默，讲课讲得很好 平时作业比较少，雨课堂五六道题， 选择填空解答题，难度跟老师的ppt差不多，期末过一遍ppt，上课认真听，问题不大 软件学院
   百分制/绩点制 偶尔签到，方式为当场在纸上完成题目并写上姓名学号。（题不会可以空着，不影响成绩） 85-89/3.5-3.9 古希腊掌管温柔的神 作业很少，且无时间限制。 闭卷，难度中等，部分为课本原题。 软件学院
   百分制/绩点制 人少的时候会签到 75-79/2.5-2.9 老师上课对公式的推导讲的比较多，人温柔耐心，不会有压迫感 平时作业较少，期末考试前完成就行 平时分占30%，其中20%是平时作业，10%要在课上回答至少三次问题 软件学院
 离散数学 陈锐 百分制/绩点制 偶尔会抽点几个人 95+ 无脑冲_授课内容：老师很温柔，讲课比较细 平时作业非常少，一个学期就一两次 期末考试 软件学院
   百分制/绩点制 偶尔点名 未出分 老师讲的很好，人也很好 平时作业很少只有几次 考试基本上都是老师讲过的很容易 软件学院
 高级语言程序设计2-2 朱静雯 百分制/绩点制 偶尔点名 90-94/4.0 授课内容符合专业需求，老师人很好 平时任务较多，但是难度不大 期末分为上机和理论考试，难度均不大，认真复习很容易拿高分 软件学院
 高级语言程序设计 龚成 百分制/绩点制 不点名 80-84/3.0-3.4 老师讲的挺好的_要多练习_挺占时间的 oj题 上机考试+笔试 软件学院
 概率论与数理统计 王超 百分制/绩点制 不签到 90-94/4.0 讲的有点快，认真负责，亲和力拉满，听不懂的可能上B站补补 一周一次作业，几道题 期末考试 软件学院
 高级语言程序设计2-1 殷爱茹,董_前琨 百分制/绩点制 偶尔签到 90-94/4.0 这门课主要靠自学，所以… 一共6道作业题 上机考，加闭卷笔试 软件学院
   百分制/绩点制 点名 85-89/3.5-3.9 偶尔点名（几乎不点），讲课比较无聊，给分还不错 一学期四到六个练习题作为期末作业,没有平时练习 期末考前有一次上机模拟考,上机考试+笔试 软件学院
   百分制/绩点制 偶尔签到 75以下/2.5以下 讲的不好,不推荐 平时任务不多 笔试+上机 软件学院
 软件文化概论 姜桂飞 百分制/绩点制 每节课飞书签到+一次线下签到 80-84/3.0-3.4 会突袭线下签到，最后给分很一般 无平时任务 交一份报告 软件学院
 C语言程序设计 朱静雯 百分制/绩点制 基本无 85-89/3.5-3.9 人美心善给分高 每周有OJ作业，有基础的话上课就能写完 机试算法题+笔试，对大一同学有一定难度 软件学院
   百分制/绩点制 无 80-84/3.0-3.4 朱老师特别好，讲课好 任务量比较舒服 闭卷+上机 软件学院
 数据结构 刘明铭 百分制/绩点制 每节课扫码签到 90+/4.0 老师人很好，但是讲的不太好，需要自学 oj题+三个实验报告 上机考试+笔试 软件学院
 机器学习导论 谢茂强 百分制/绩点制 偶尔课前会有问卷星几道题 85-89/3.7 老师讲的巨好，如果讲的我能听懂就更好了_ppt做的特别好，如果ppt和书没有出入那将是完美的ppt_实验课巨有意思，如果实验课不需要调矩阵的形状就更有意思了 每节课一个ipynb文件 笔试，考的知识点大概率会很偏，这是老师为了防止我们学习过拟合呕心沥血想出的方法 软件学院
 算法导论 兰格 百分制/绩点制 实验课会扫码签到，偶尔叫人回答问题 90+/4.0 老师人很好，但讲的不太行，只会念ppt，需要自学 oj题 笔试 软件学院
  孙永谦 百分制/绩点制 小雅扫码签到 85-89/3.7 老师人很好，讲的大部分能听懂，但是你得全神贯注得听，走神一会突然就听不懂了，考前会划重点，不过划的两阶段法没考 oj题 笔试 软件学院
 高级语言程序实训1 沈舒尹 百分制/绩点制 会有签到 90+/4.0 老师人很好，每次任务都会有脚手架代码往里填好基本就能做出来，当然也可以自己用其他思路完成 分阶段完成小游戏 选出你做的其中一个小游戏答辩 软件学院
  谢茂强 百分制/绩点制 节节课点名 90+/4.0 教的很好，反正我没听过；很E的一个人，反正我不喜欢跟他聊；脾气不错，反正我也没惹他生气过 分阶段完成小游戏 选出你做的其中一个小游戏答辩 软件学院
