 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
 网络思想政治教育 常宴会 百分制/绩点制 几乎不 85-89/3.5-3.9 讲课有意思，人也很有意思，但是不按教材讲课 平时作业有一篇读书报告或者参加辩论 闭卷考试，背资料的话难度就一般 马克思主义学院
 思想政治教育学原理 余一凡 百分制/绩点制 签到 80-84/3.0-3.4 老师上课会互动 不难，印象里应该只有一个小组作业？ 背了往年的提纲，写的时候也感觉都背住了，还是纯文科生，但是最后给了我3.3 马克思主义学院
 社会学概论 薛晓斌 百分制/绩点制 选课人极少，老师会记得每个人的 90-94/4.0 全是干货，老师非常厉害 任务量大，自行根据兴趣选择两个主题写文献综述，占用精力不小，但是有收获 闭卷考试 马克思主义学院
 中华人民共和国史 吴淑丽 通过制 有几次点名  课程很轻松 少 有平时作业和结课作业，有一些题目选做，类似简短的论文 马克思主义学院
 中国政治思想史 任鹏飞 百分制/绩点制 签到 85-89/3.5-3.9 会划重点_对课堂纪律有一定要求（不方便摸鱼） 一篇800字的读后感_一个小组作业（一般是剪一个视频展示 期末统考 马克思主义学院
 马克思主义发展史I 叶冬娜 百分制/绩点制 点名 90-94/4.0 授课内容很丰富，老师很优雅温和，收获感满满 平时任务很少，占用时间很少，有一次小组展示，一定要重视这次展示，认真做！！！ 期末不考试，交一篇结课论文，给分超好 马克思主义学院
 中国近现代史纲要 盛林 百分制/绩点制 点名 85-89/3.5-3.9 老师水平感觉不太行,上课很水,不讲实质性东西大谈自己感受,经常放无聊视频，把史纲讲的像行策一样,还要求平时回答问题！给分也很迷！lz目前马院专业课除很难的政经的分都很高,而且楼主历史学的真的不错。但这个老师给分很不好啊啊啊！lz上课还回答了问题。是开卷考试就算找到答案给分也很迷。我的室友飞书给他请假他已读不回，发了请假条根本不回。总之就是很不好 要回答问题，就算回答了分也不是很高。期中有个小论文，还要看一个纪录片写观后感。 开卷，内容说是他上课讲过的提到的。但跟史纲历史毫无关系。 马克思主义学院
 教育哲学 任铃 百分制/绩点制 无 95+ 好 无 论文 马克思主义学院
 马克思主义基本原理II 陈弘 百分制/绩点制 签到 85-89/3.5-3.9 政治经济学原理。三七开。期末70%这个课挺难。老师讲的也比较难,且老师有点口音。但能学到知识,老师是大牛。老师给分公正,是多少就是多少。只要认真复习老师上课讲过的内容的就能取得一个理想分数 期中会有一个小论文。除此之外没作业。 闭卷考试。都是老师讲过的部分,考的内容比较细比较多。认真学了大部分是能答上的。如果平时不认真学搞不懂分数会很难看 马克思主义学院
 思想道德与法治 徐曼,宋成剑 百分制/绩点制 点名 90-94/4.0 徐曼老师人很好，宋成剑老师稍微严一些，上课内容不难 除了期中有汇报展示，平时没什么任务 期末随堂闭卷考试，题目不算太难，限时100分钟 马克思主义学院
